,mod.conVAVSou.VDis_flow,mod.conVAVEas.VDis_flow,mod.conVAVNor.VDis_flow,mod.conVAVWes.VDis_flow,mod.conVAVCor.VDis_flow,mod.fanSup.VMachine_flow,mod.flo.temAirSou.T,mod.flo.temAirEas.T,mod.flo.temAirNor.T,mod.flo.temAirWes.T,mod.flo.temAirPer5.T,mod.TOut.y,mod.oveRelHumOutAir.y,total_power,Power (kW)
0,2.69E-13,2.56E-13,2.69E-13,1.99E-13,-0.006902902,2.27E-12,297.15,297.15,297.15,297.15,297.7750606,294.45,0.66,-3.55E-25,2442.786
0,0.000105633,0.000100312,0.000105633,7.80E-05,-0.006844168,0.000890678,296.8703116,296.8899672,296.8700587,296.8446754,297.5675047,294.225,0.70128102,-5.45E-08,
0,0.000100809,9.57E-05,0.000100809,7.45E-05,-0.006022242,0.000849999,296.9317262,297.0064078,297.0000708,297.0005983,297.6801946,294,0.765965074,-4.97E-08,
0,0.000101048,9.60E-05,0.000101048,7.46E-05,-0.006778126,0.000852016,297.0264802,296.9760355,297.0291299,297.0434443,297.7338773,293.775,0.83016659,-4.99E-08,
0,0.000105564,0.000100246,0.000105564,7.80E-05,-0.006386151,0.000890094,297.0510165,297.0470655,296.9640334,297.0588958,297.728345,293.55,0.87,-5.44E-08,
0,0.00010217,9.70E-05,0.00010217,7.55E-05,-0.006525666,0.000861471,297.0565381,297.0169528,296.9792164,297.0649114,297.7434117,293.325,0.888177584,-5.10E-08,
0,0.000106701,0.000101326,0.000106701,7.88E-05,-0.005624926,0.000899681,296.9762331,297.0231865,297.0378035,297.0555529,297.7675457,293.1,0.903786058,-5.56E-08,
0,0.000100276,9.52E-05,0.000100276,7.41E-05,-0.005711716,0.000845502,297.0187775,297.0432796,297.0249758,296.9710828,297.7835652,292.875,0.917501502,-4.91E-08,
0,0.000106047,0.000100705,0.000106047,7.83E-05,-0.005874903,0.000894165,297.0247626,297.033898,296.9269628,297.025828,297.7375073,292.65,0.93,-5.49E-08,
0,0.000105425,0.000100114,0.000105425,7.79E-05,-0.0058323,0.00088892,297.011234,297.018027,296.9035189,297.0168216,297.7285674,292.4364063,0.942908654,-5.43E-08,
0,0.000104371,9.91E-05,0.000104371,7.71E-05,-0.005757373,0.00088003,296.9997754,297.0069243,296.8905462,297.0062302,297.7258784,292.23875,0.955641026,-5.32E-08,
0,0.00010321,9.80E-05,0.00010321,7.62E-05,-0.00567187,0.00087024,296.9904209,296.9986298,296.8813921,296.9978539,297.7249216,292.0467187,0.965552885,-5.20E-08,
0,0.000102075,9.69E-05,0.000102075,7.54E-05,-0.005577062,0.000860676,296.9824191,296.9918845,296.8744639,296.9908646,297.7239592,291.85,0.97,-5.09E-08,
0,0.000100959,9.59E-05,0.000100959,7.46E-05,-0.005465235,0.000851266,296.9752051,296.9860393,296.8691872,296.9846753,297.7205771,291.630625,0.961599265,-4.98E-08,
0,1.00E-04,9.49E-05,1.00E-04,7.38E-05,-0.005342783,0.000842769,296.9664439,296.9787606,296.8637813,296.9769892,297.7132753,291.3925,0.940931373,-4.88E-08,
0,9.91E-05,9.41E-05,9.91E-05,7.32E-05,-0.005222737,0.000835653,296.9554603,296.9693287,296.8581,296.9666198,297.704247,291.158125,0.917297794,-4.80E-08,
0,9.85E-05,9.35E-05,9.85E-05,7.27E-05,-0.005116835,0.000830208,296.9434107,296.9586013,296.8532575,296.942209,297.6973254,290.95,0.9,-4.74E-08,
0,0.000101479,9.64E-05,0.000101479,7.50E-05,-0.004979118,0.000855652,296.9290646,296.9429202,296.8928884,296.8756717,297.7149924,290.8344866,0.889389706,-5.03E-08,
0,0.000100452,9.54E-05,0.000100452,7.42E-05,-0.004371108,0.000846987,296.8397231,296.9325308,296.9093824,296.9177513,297.6994352,290.8294643,0.880235294,-4.93E-08,
0,9.92E-05,9.42E-05,9.92E-05,7.33E-05,-0.005460973,0.00083668,296.896267,296.8545785,296.8972026,296.9225704,297.6925705,290.8847098,0.873463235,-4.81E-08,
0,0.000100705,9.56E-05,0.000100705,7.44E-05,-0.005215471,0.000849124,296.9022299,296.9158962,296.8146309,296.9202525,297.6550299,290.95,0.87,-4.96E-08,
0,9.84E-05,9.34E-05,9.84E-05,7.26E-05,-0.005397934,0.000829358,296.9030028,296.8926859,296.8384907,296.9215438,297.6651301,291.0066964,0.873430147,-4.73E-08,
0,9.88E-05,9.38E-05,9.88E-05,7.30E-05,-0.004880012,0.000833191,296.863445,296.9108035,296.9025192,296.9253031,297.6941981,291.0892857,0.883147059,-4.77E-08,
0,9.84E-05,9.35E-05,9.84E-05,7.27E-05,-0.004802985,0.000830036,296.9014437,296.9614732,296.9206604,296.890001,297.7198018,291.2272321,0.893790441,-4.73E-08,
0,9.86E-05,9.37E-05,9.86E-05,7.29E-05,-0.004706448,0.000831732,296.936392,297.0278695,296.8970021,296.9486588,297.7178057,291.45,0.9,-4.75E-08,
